id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
91,2016,8,24,23,22,5,42.6478,13.2127,11.2,3.83,24/08/2016 23:22
92,2016,8,24,23,24,55,42.7505,13.2323,9.4,3.39,24/08/2016 23:24
93,2016,8,25,3,17,16,42.7527,13.2082,9.5,4.48,25/08/2016 03:17
94,2016,8,25,4,12,11,42.6913,13.2343,10.2,3.32,25/08/2016 04:12
95,2016,8,25,4,51,40,42.6183,13.3343,13.3,3.93,25/08/2016 04:51
96,2016,8,25,8,59,37,42.6137,13.3032,6.9,3.17,25/08/2016 08:59
97,2016,8,25,12,21,58,42.6132,13.2522,10.7,3.22,25/08/2016 12:21
98,2016,8,25,12,36,5,42.5957,13.2902,10,4.33,25/08/2016 12:36
99,2016,8,25,19,40,44,42.5908,13.2883,10.4,3.33,25/08/2016 19:40
100,2016,8,25,23,48,46,42.7852,13.1867,9.8,3.35,25/08/2016 23:48
101,2016,8,25,23,49,55,42.7968,13.2355,7.5,3.62,25/08/2016 23:49
102,2016,8,26,0,4,9,42.6667,13.2873,10.2,3.75,26/08/2016 00:04
103,2016,8,26,4,8,3,42.6975,13.2305,10.7,3.04,26/08/2016 04:08
104,2016,8,26,4,21,9,42.6153,13.2952,7.5,3.04,26/08/2016 04:21
105,2016,8,26,4,28,25,42.6003,13.2895,10.9,4.8,26/08/2016 04:28
106,2016,8,26,5,8,30,42.7778,13.1587,9.8,3.22,26/08/2016 05:08
107,2016,8,26,5,8,54,42.6188,13.2985,7.5,3.27,26/08/2016 05:08
108,2016,8,26,5,17,5,42.7528,13.2125,9.8,3.41,26/08/2016 05:17
109,2016,8,26,5,32,52,42.7668,13.1495,7.9,3.47,26/08/2016 05:32
110,2016,8,26,5,50,34,42.6298,13.2967,6.8,3.09,26/08/2016 05:50
111,2016,8,26,11,6,44,42.6143,13.304,10.5,3,26/08/2016 11:06
112,2016,8,26,15,16,23,42.6017,13.2925,7.3,3,26/08/2016 15:16
113,2016,8,26,16,5,29,42.6927,13.1477,9.9,3.79,26/08/2016 16:05
114,2016,8,26,20,49,12,42.794,13.1532,10.1,3.2,26/08/2016 20:49
115,2016,8,26,23,13,36,42.8423,13.2577,8.1,3.18,26/08/2016 23:13
116,2016,8,27,1,26,39,42.8362,13.2453,9.1,3.72,27/08/2016 01:26
117,2016,8,27,2,50,59,42.8392,13.2488,8.2,4.02,27/08/2016 02:50
118,2016,8,27,2,52,23,42.6158,13.31,9.7,3.02,27/08/2016 02:52
119,2016,8,27,3,0,54,42.8402,13.2473,8.1,3.06,27/08/2016 03:00
120,2016,8,27,6,8,29,42.8383,13.2357,7.2,3.26,27/08/2016 06:08
121,2016,8,27,6,20,30,42.5475,13.3098,16.3,3.44,27/08/2016 06:20
122,2016,8,27,7,44,12,42.7658,13.2272,8.7,3.02,27/08/2016 07:44
123,2016,8,27,9,41,38,42.7925,13.1815,8.6,3.18,27/08/2016 09:41
124,2016,8,27,10,40,14,42.8382,13.2462,6.8,3.58,27/08/2016 10:40
125,2016,8,27,21,31,42,42.5932,13.2643,11.2,3.44,27/08/2016 21:31
126,2016,8,28,5,16,34,42.6032,13.3092,9.8,3.06,28/08/2016 05:16
127,2016,8,28,6,37,19,42.7225,13.2083,10.3,3.39,28/08/2016 06:37
128,2016,8,28,7,59,53,42.796,13.2352,8.1,3.04,28/08/2016 07:59
129,2016,8,28,9,18,17,42.6265,13.2948,7.8,3.29,28/08/2016 09:18
130,2016,8,28,10,25,32,42.7788,13.1073,10.6,3,28/08/2016 10:25
